for,while,if,funciones,recursivo,lineas,profundidad_bucles,complejidad
3,0,4,1,4,26,3,constant
0,0,3,0,0,11,0,constant
1,0,4,0,0,16,1,constant
0,0,3,0,0,616,0,constant
0,0,3,3,1,16,0,constant
13,8,19,40,8,401,2,constant
0,0,2,0,0,8,0,constant
3,0,2,1,4,15,3,constant
0,0,2,0,0,7,0,constant
0,0,2,0,0,12,0,constant
0,0,2,0,0,13,0,constant
0,2,8,7,2,86,1,constant
0,2,8,7,2,86,1,constant
0,0,2,0,0,11,0,constant
1,0,4,0,0,15,1,constant
0,0,3,0,0,9,0,constant
0,0,3,0,0,9,0,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,1,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,5,0,constant
0,0,0,0,0,3,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,5,0,constant
0,0,4,1,1,15,0,constant
0,0,1,0,0,52,0,constant
0,0,1,0,0,35,0,constant
0,0,1,0,0,11,0,constant
0,0,1,6,1,19,0,constant
36,33,86,59,10,749,4,constant
4,0,1,5,3,34,1,constant
2,1,2,0,0,27,2,constant
0,6,4,0,0,34,2,constant
0,0,2,0,0,6,0,constant
4,0,3,0,0,17,4,constant
2,0,3,0,0,22,2,constant
0,0,1,0,0,5,0,constant
0,0,4,0,0,12,0,constant
0,0,1,0,0,9,0,constant
0,0,4,0,0,17,0,constant
1,0,5,0,0,16,1,constant
0,0,2,0,0,19,0,constant
0,0,3,0,0,14,0,constant
0,0,2,0,0,10,0,constant
0,0,2,0,0,11,0,constant
0,0,2,0,0,15,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
0,0,2,0,0,46,0,constant
0,0,4,0,0,36,0,constant
0,0,2,0,0,11,0,constant
0,0,0,6,3,21,0,constant
0,0,0,0,0,6,0,constant
0,0,2,0,0,11,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,4,0,constant
0,0,2,1,1,29,0,constant
0,0,2,1,1,17,0,constant
0,0,3,0,0,15,0,constant
0,0,0,0,0,8,0,constant
1,0,2,0,0,11,1,constant
0,0,0,0,0,3,0,constant
1,0,2,0,0,10,1,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,7,0,constant
0,1,2,1,1,21,1,constant
0,1,2,1,1,22,1,constant
0,0,1,0,0,9,0,constant
0,0,0,0,0,3,0,constant
1,0,2,0,0,14,1,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,2,0,constant
0,0,1,0,0,5,0,constant
0,0,0,0,0,4,0,constant
0,1,1,0,0,11,1,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,4,0,constant
1,0,3,1,1,30,1,constant
0,0,3,0,0,9,0,constant
0,0,3,0,0,9,0,constant
0,0,6,0,0,13,0,constant
0,0,3,0,0,9,0,constant
0,0,11,0,0,31,0,constant
1,0,3,0,0,20,1,constant
0,0,0,0,0,3,0,constant
0,0,3,0,0,9,0,constant
0,0,3,0,0,9,0,constant
0,0,5,1,1,17,0,constant
0,0,3,0,0,9,0,constant
5,4,15,25,3,265,2,constant
0,0,4,0,0,17,0,constant
0,0,5,0,0,17,0,constant
1,0,3,0,0,18,1,constant
0,0,7,0,0,30,0,constant
0,0,7,0,0,29,0,constant
0,0,11,0,0,30,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,1,0,0,7,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,7,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,52,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,14,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,9,0,constant
1,0,0,0,0,10,1,constant
0,0,0,1,1,6,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,52,0,constant
0,0,0,0,0,2,0,constant
0,0,2,0,0,12,0,constant
0,0,0,0,0,5,0,constant
0,0,0,1,1,16,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,7,0,constant
0,0,5,0,0,17,0,constant
0,0,0,0,0,12,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,5,0,constant
5,0,2,1,1,24,2,constant
4,0,4,0,0,28,2,constant
3,0,3,0,0,22,2,constant
2,0,2,0,0,18,2,constant
8,5,10,21,3,192,2,constant
2,0,0,0,0,16,2,constant
3,1,3,1,2,37,2,constant
1,3,3,0,0,33,2,constant
2,1,1,0,0,24,3,constant
2,1,1,0,0,20,2,constant
4,2,3,5,0,78,2,constant
4,0,6,0,0,30,2,constant
3,1,5,0,0,37,2,constant
3,1,2,0,0,33,2,constant
4,0,2,1,1,23,1,constant
2,0,0,1,1,14,2,constant
3,0,0,0,0,16,2,constant
4,0,2,0,0,24,2,constant
4,0,1,0,0,19,2,constant
0,0,2,0,0,9,0,constant
0,2,3,12,0,102,1,constant
0,0,3,0,0,8,0,constant
0,0,2,0,0,10,0,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,2,0,constant
0,0,2,0,0,8,0,constant
0,0,3,0,0,8,0,constant
0,0,2,0,0,5,0,constant
0,0,2,0,0,7,0,constant
0,0,2,0,0,8,0,constant
0,0,2,0,0,7,0,constant
0,0,2,0,0,9,0,constant
0,0,2,0,0,7,0,constant
0,0,2,0,0,8,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,7,0,constant
0,0,2,0,0,8,0,constant
2,3,8,15,2,98,2,constant
3,0,1,0,0,11,1,constant
2,0,1,0,0,9,1,constant
2,0,0,0,0,10,1,constant
2,0,1,0,0,10,1,constant
2,0,6,0,0,20,1,constant
2,0,0,0,0,9,1,constant
3,0,1,0,0,25,1,constant
2,0,0,0,0,16,1,constant
2,0,1,0,0,10,1,constant
3,0,1,0,0,13,1,constant
4,1,10,14,3,88,1,constant
1,0,1,0,0,19,1,constant
1,1,6,0,0,30,1,constant
1,0,6,0,0,19,1,constant
2,0,0,4,3,16,1,constant
2,0,1,0,0,14,1,constant
2,0,0,0,0,11,1,constant
1,0,0,0,0,3,1,constant
2,0,1,0,0,11,1,constant
0,0,1,0,0,8,0,constant
0,0,2,0,0,12,0,constant
0,0,2,0,0,21,0,constant
0,2,4,6,1,55,1,constant
0,0,4,0,0,22,0,constant
0,0,1,0,0,7,0,constant
0,0,2,0,0,9,0,constant
0,0,2,0,0,10,0,constant
0,0,2,0,0,8,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,7,0,constant
0,0,0,0,0,3,0,constant
0,0,2,0,0,10,0,constant
0,0,2,0,0,11,0,constant
4,5,8,8,1,110,2,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,7,0,constant
0,1,3,1,2,33,1,constant
1,0,10,0,0,43,1,constant
1,0,10,0,0,42,1,constant
1,0,5,0,0,39,1,constant
8,0,10,0,0,47,3,constant
0,1,2,0,0,17,1,constant
1,2,9,6,1,92,1,constant
1,2,9,6,1,93,1,constant
1,2,9,6,1,94,1,constant
2,0,8,0,0,32,1,constant
1,0,4,0,0,17,1,constant
5,0,2,0,0,54,3,constant
5,0,2,0,0,55,3,constant
1,2,7,7,3,87,1,constant
1,0,4,0,0,29,1,constant
15,14,21,29,6,296,2,constant
3,0,5,1,4,29,2,constant
1,0,4,0,0,24,1,constant
1,0,1,0,0,7,1,constant
2,0,1,0,0,16,2,constant
1,0,9,0,0,50,1,constant
9,0,7,3,8,92,1,constant
0,0,7,3,44,50,0,constant
2,0,5,2,4,63,1,constant
4,0,5,1,1,35,3,constant
4,0,1,0,0,28,2,constant
3,0,5,6,12,82,1,constant
2,0,2,6,6,58,1,constant
6,0,10,13,21,99,1,constant
3,0,3,9,12,57,2,constant
2,0,5,6,7,40,2,constant
2,0,1,0,0,24,2,constant
0,0,0,0,0,4,0,constant
1,0,4,0,0,21,1,constant
0,0,4,0,0,15,0,constant
0,0,2,0,0,10,0,constant
10,5,11,17,1,145,2,constant
10,5,11,17,1,145,2,constant
4,2,11,16,5,119,2,constant
0,0,4,0,0,12,0,constant
0,0,2,0,0,12,0,constant
0,0,2,0,0,7,0,constant
0,0,2,0,0,8,0,constant
0,0,3,0,0,11,0,constant
0,0,2,0,0,8,0,constant
0,0,2,4,4,11,0,constant
0,0,0,0,0,2,0,constant
0,0,2,0,0,8,0,constant
0,0,1,0,0,8,0,constant
0,0,2,0,0,13,0,constant
0,0,0,0,0,5,0,constant
0,2,4,6,1,58,1,constant
0,1,2,0,0,27,1,constant
0,1,1,0,0,22,1,constant
0,1,0,0,0,14,1,constant
0,1,1,0,0,16,1,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,3,0,constant
0,0,0,1,1,7,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,9,0,constant
1,0,0,0,0,8,1,constant
2,0,0,0,0,6,1,constant
0,0,0,0,0,1,0,constant
0,0,0,0,0,12,0,constant
0,0,0,0,0,5,0,constant
0,0,1,0,0,9,0,constant
0,0,1,0,0,17,0,constant
0,0,1,0,0,9,0,constant
0,0,2,0,0,12,0,constant
0,0,4,1,4,39,0,constant
0,0,2,0,0,18,0,constant
0,0,1,0,0,12,0,constant
0,0,1,0,0,9,0,constant
0,0,4,0,0,15,0,constant
0,0,1,0,0,11,0,constant
0,0,1,0,0,10,0,constant
0,0,1,0,0,12,0,constant
0,0,1,0,0,13,0,constant
0,0,10,1,4,30,0,constant
0,0,9,2,10,39,0,constant
0,0,1,0,0,10,0,constant
0,0,1,2,4,20,0,constant
0,0,4,1,2,21,0,constant
0,0,1,0,0,11,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,4,0,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,2,1,1,17,0,constant
0,0,0,0,0,4,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
0,0,3,3,4,42,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
0,0,1,0,0,7,0,constant
1,0,3,0,0,23,1,constant
1,0,5,3,5,48,1,constant
1,0,5,0,0,21,1,constant
2,0,5,0,0,22,1,constant
1,0,4,0,0,14,1,constant
1,0,8,0,0,28,1,constant
1,0,4,5,7,36,1,constant
1,0,3,0,0,17,1,constant
1,0,4,0,0,19,1,constant
1,0,10,0,0,35,1,constant
1,0,1,0,0,17,1,constant
1,0,5,1,1,25,1,constant
1,0,5,0,0,21,1,constant
1,0,3,0,0,13,1,constant
1,0,2,0,0,15,1,constant
1,0,4,1,1,26,1,constant
1,0,5,0,0,21,1,constant
1,0,3,0,0,14,1,constant
1,0,5,1,1,21,1,constant
0,0,1,0,0,7,0,constant
0,0,0,0,0,2,0,constant
0,0,1,0,0,9,0,constant
0,0,1,0,0,7,0,constant
0,0,0,0,0,5,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,9,0,constant
0,0,0,0,0,4,0,constant
0,0,2,0,0,14,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,9,0,constant
0,1,1,0,0,11,1,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,2,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,6,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,3,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,5,0,constant
0,0,1,1,2,15,0,constant
0,0,1,0,0,6,0,constant
1,0,0,0,0,7,1,constant
1,0,0,3,1,25,1,constant
0,0,0,0,0,3,0,constant
0,0,1,0,0,9,0,constant
0,0,1,0,0,8,0,constant
0,0,2,0,0,12,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
6,1,4,2,2,63,3,constant
0,0,1,0,0,6,0,constant
0,0,2,0,0,10,0,constant
0,0,1,0,0,6,0,constant
0,0,2,0,0,10,0,constant
0,0,2,0,0,8,0,constant
0,0,1,0,0,7,0,constant
0,0,2,0,0,9,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,8,0,constant
0,0,2,0,0,10,0,constant
0,0,3,1,1,19,0,constant
0,0,2,0,0,9,0,constant
0,0,3,0,0,12,0,constant
0,0,1,0,0,6,0,constant
0,0,4,2,2,33,0,constant
0,0,2,0,0,13,0,constant
0,0,1,0,0,6,0,constant
0,0,2,1,1,12,0,constant
0,0,2,0,0,12,0,constant
0,0,0,0,0,5,0,constant
0,0,1,0,0,8,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,9,0,constant
0,0,0,2,2,12,0,constant
0,0,1,0,0,10,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,7,0,constant
0,0,1,0,0,8,0,constant
0,0,2,1,2,31,0,constant
1,0,5,2,2,29,1,constant
0,0,1,1,2,10,0,constant
0,0,1,0,0,8,0,constant
0,0,2,1,1,16,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,8,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,5,0,constant
0,0,3,0,0,17,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,3,0,constant
0,0,0,1,1,21,0,constant
1,0,2,2,2,20,1,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,7,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,8,0,constant
0,0,0,3,2,11,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
1,0,1,1,2,11,1,constant
1,0,0,3,3,13,1,constant
1,0,1,2,4,12,1,constant
1,0,0,1,2,11,1,constant
1,0,4,2,3,34,1,constant
1,0,6,0,0,27,1,constant
1,0,2,0,0,15,1,constant
1,0,3,4,6,30,1,constant
1,0,3,0,0,14,1,constant
1,0,4,0,0,19,1,constant
1,0,0,1,2,20,1,constant
1,0,3,0,0,30,1,constant
1,0,4,0,0,15,1,constant
1,0,5,3,5,53,1,constant
0,1,0,1,2,15,1,constant
1,0,2,1,2,16,1,constant
1,0,0,9,3,40,1,constant
1,0,0,0,0,9,1,constant
1,0,1,0,0,10,1,constant
1,0,1,5,13,44,1,constant
1,0,3,2,5,20,1,constant
1,0,3,11,10,62,1,constant
1,0,5,5,17,69,1,constant
1,0,2,1,4,25,1,constant
1,0,5,3,8,47,1,constant
2,0,4,4,9,51,1,constant
3,0,9,4,13,76,3,constant
1,0,7,3,5,51,1,constant
1,0,10,2,5,52,1,constant
1,0,4,0,0,30,1,constant
1,0,3,1,4,41,1,constant
7,0,4,10,17,108,2,constant
1,0,4,1,4,35,1,constant
1,0,6,3,20,72,1,constant
1,0,5,7,12,57,1,constant
1,0,3,3,4,67,1,constant
1,0,5,3,7,44,1,constant
1,0,2,1,4,25,1,constant
2,1,4,0,0,29,2,constant
1,0,6,1,1,38,1,constant
2,1,4,0,0,37,2,constant
4,2,5,6,1,73,2,constant
4,0,0,0,0,17,1,constant
5,8,2,2,6,73,4,constant
5,0,9,4,10,89,2,constant
0,9,2,3,2,63,1,constant
11,0,7,0,0,43,1,constant
8,0,12,1,7,55,1,constant
4,0,0,0,0,17,1,constant
11,0,10,3,4,78,3,constant
1,6,4,0,0,52,1,constant
4,0,3,0,0,24,1,constant
2,0,3,0,0,141,2,constant
3,0,7,5,15,73,1,constant
1,2,8,6,6,98,1,constant
1,0,9,0,0,45,1,constant
0,1,5,4,7,57,1,constant
0,1,3,0,0,25,1,constant
1,0,7,3,3,74,1,constant
3,1,5,0,0,64,1,constant
2,0,5,0,0,40,1,constant
3,0,8,2,4,82,1,constant
1,0,6,2,8,32,1,constant
1,0,3,1,3,24,1,constant
1,0,7,1,4,36,1,constant
1,0,3,3,4,28,1,constant
0,1,3,0,0,24,1,constant
1,0,4,0,0,31,1,constant
1,0,4,0,0,38,1,constant
1,0,3,0,0,20,1,constant
1,0,3,1,3,30,1,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,9,0,constant
0,0,0,0,0,9,0,constant
0,0,0,0,0,8,0,constant
0,0,0,1,1,14,0,constant
0,0,0,0,0,6,0,constant
0,1,1,1,1,14,1,constant
0,0,0,0,0,10,0,constant
0,0,0,0,0,10,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,7,0,constant
0,0,0,0,0,9,0,constant
0,0,1,0,0,5,0,constant
0,0,0,0,0,4,0,constant
0,0,2,0,0,9,0,constant
0,0,1,0,0,6,0,constant
0,0,1,0,0,10,0,constant
0,0,1,0,0,18,0,constant
0,0,1,0,0,9,0,constant
0,0,1,0,0,10,0,constant
0,0,1,0,0,5,0,constant
0,0,1,0,0,7,0,constant
0,0,1,0,0,8,0,constant
0,0,0,0,0,3,0,constant
0,0,2,0,0,12,0,constant
0,0,1,0,0,9,0,constant
0,0,2,0,0,10,0,constant
0,0,1,1,1,12,0,constant
0,1,2,0,0,28,1,constant
3,0,2,0,0,23,1,constant
0,1,0,0,0,11,1,constant
0,1,0,0,0,9,1,constant
0,2,3,0,0,23,1,constant
2,0,1,0,0,13,1,constant
0,1,2,0,0,15,1,constant
0,1,0,0,0,12,1,constant
0,1,0,2,3,16,1,constant
0,2,1,1,1,31,1,constant
0,1,2,0,0,20,1,constant
1,4,1,0,0,33,2,constant
0,1,1,0,0,16,1,constant
0,1,0,0,0,26,1,constant
0,1,1,0,0,21,1,constant
1,0,1,0,0,13,1,constant
0,1,0,0,0,10,1,constant
1,0,2,0,0,16,1,constant
0,1,1,0,0,24,1,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,1,0,1,1,12,1,constant
0,0,0,0,0,2,0,constant
0,0,1,1,1,9,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,2,0,constant
0,0,0,0,0,3,0,constant
3,0,5,0,0,18,3,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,5,0,constant
0,0,0,0,0,6,0,constant
0,0,0,0,0,15,0,constant
0,0,0,0,0,6,0,constant
1,0,1,0,0,4,1,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,8,0,constant
0,0,0,0,0,4,0,constant
0,0,0,0,0,10,0,constant
0,0,0,0,0,4,0,constant
0,0,0,1,1,7,0,constant
0,0,1,0,0,15,0,constant
1,0,1,3,1,18,1,constant
0,0,0,0,0,8,0,constant
1,0,0,0,0,9,1,constant
1,0,1,1,2,10,1,constant
2,1,2,1,1,16,2,constant
1,0,1,0,0,6,1,constant
35,27,78,58,10,681,4,constant
1,0,1,1,2,9,1,constant
2,0,0,0,0,14,1,constant
1,0,5,1,1,28,1,constant
1,2,4,6,1,72,1,constant
2,0,1,0,0,11,1,constant
2,0,2,0,0,18,1,constant
1,0,1,0,0,18,1,constant
1,0,6,2,3,35,1,constant
1,0,4,1,1,25,1,constant
1,0,1,0,0,11,1,constant
1,0,0,5,5,24,1,constant
1,0,2,1,1,15,1,constant
2,0,2,0,0,15,2,constant
1,0,1,1,2,16,1,constant
1,0,4,0,0,19,1,constant
0,1,5,8,6,76,1,logn
0,1,1,0,0,10,1,logn
0,1,1,0,0,10,1,logn
0,1,1,0,0,14,1,logn
0,1,1,0,0,22,1,logn
0,1,0,0,0,9,1,logn
0,0,0,0,0,2,0,logn
1,1,1,0,0,11,1,logn
0,1,0,0,0,12,1,logn
0,2,0,1,1,23,1,logn
1,2,4,7,2,75,1,logn
0,1,0,0,0,6,1,logn
1,0,2,0,0,16,1,logn
0,2,0,1,1,41,1,logn
1,0,4,1,1,24,1,logn
1,0,2,0,0,19,1,logn
1,0,2,0,0,15,1,logn
1,0,2,0,0,15,1,logn
1,0,2,0,0,14,1,logn
1,0,5,7,3,91,1,logn
1,2,3,0,0,25,1,logn
1,0,1,0,0,12,1,logn
1,0,1,0,0,6,1,logn
0,1,4,0,0,35,1,logn
0,1,0,1,1,13,1,logn
0,1,0,1,1,14,1,logn
1,1,2,0,0,20,1,logn
8,9,13,19,5,186,2,logn
